Hylak_id,group,res,lake_connectivity,dWL,precip,air_temp,elev,meandepth,pop_sum,maxdepth,ws_area,no3_dep,nh3_dep,carb,sil,LSA,perc_ice,perc_urban,perc_shrub,perc_ag,perc_wetland,perc_barren,slope,cti,WALA,n_dep,perc_forest
765,Blue,RSVR,DrainageLk,493,68.23490586,0.295997937,2063.16,4.077295899,160.0314325,0,2085.0408,4.024799294,2.741043916,2.524223986,17.19285781,10867.11223,0.019769397,0.011352296,35.15439122,10.68583406,3.797623529,1.326794181,19.68077713,806.4101118,19.18672691,6.76584321,41.22864646
778,Blue,RSVR,Drainage,484,47.42647657,5.125608642,1806.53,57.54982805,2959.357586,147.1661328,13.1751,3.057649527,3.173866059,73.43397773,0,28331.45035,0,0.765079582,57.66787349,1.461848487,4.324065851,1.687273721,19.20536126,726.6640481,0.04694863,6.231515586,30.80128424
784,Blue,RSVR,DrainageLk,493,30.7247708,6.099181816,1842.28,9.819847977,201748.0089,53.85331701,0.027,0.856617451,0.524195313,0,0,15734.4003,0,0,0,0,0,0,0,1716.1,0.000228467,1.380812764,0
8706,Blue,RSVR,DrainageLk,496,56.47854287,2.089811684,1945.31,8.062562596,259.3188659,26.12903015,133.119,3.011315107,1.346427399,73.02007978,1.855182205,1146.659635,0,0.147386924,15.39044013,2.928131972,0.500980326,0.217699953,17.84458108,826.1179366,11.81075326,4.357742506,71.54350619
8835,Blue,RSVR,DrainageLk,508,52.07797848,2.371212035,1468.74,9.008184782,3191.155137,26.87087705,5514.3846,2.676037636,1.735896357,1.005582744,32.377437,1520.711783,0,0.163894988,38.46580451,15.93967711,2.511565842,0.3072419,19.7588752,759.2748544,368.9291898,4.411933993,40.24937434
8897,Blue,RSVR,DrainageLk,519,45.68749595,2.135900388,1690.49,12.2571808,8683.045809,34.05313327,5833.125,1.952932166,1.269882476,6.500644166,13.01102411,1993.169882,0,0.176293153,55.2085323,20.84517647,3.798649952,0.061654773,18.84394755,756.3581369,299.3648961,3.222814642,16.55416779
8916,Blue,NL,DrainageLk,488,63.61065579,4.094829913,1520.87,7.400662898,3945.950045,24.72812427,373.5036,3.250230448,1.971647747,0,83.6049773,2053.647498,0.001927692,0.443610182,40.23093753,7.992453085,2.052510337,0.054698268,23.20156802,767.4696726,18.5049346,5.221878195,42.03911288
8924,Blue,RSVR,DrainageLk,494,60.4888345,1.399515118,1992.93,7.899221432,5224.678477,31.55990395,2411.4951,2.807502252,1.882062298,0.117039425,17.1735576,5020.94127,0,0.201795973,44.27355876,4.511839978,3.362756159,0.05784793,13.33836998,798.9309031,47.16953094,4.68956455,44.84520827
8953,Green/brown,RSVR,DrainageLk,534,47.96269727,2.048230715,2006.07,0.9267117,7.535792196,3.012796668,1465.6626,2.218179802,1.488287699,0.13484686,22.02756624,1769.495091,0,0.015412824,62.40437601,7.261282372,12.47118539,0.004605426,14.01427948,850.3290521,81.9309408,3.706467502,15.17309645
8960,Green/brown,RSVR,DrainageLk,533,60.82024846,1.415646445,2016.04,0.722648184,4.651040599,2.22784211,0.0909,1.565545082,1.10920155,0,0,1192.587223,0,0,0,0,99.00990099,0,0.167673832,1396.455446,0.007724994,2.674746633,0
