"year","latitude","longitude","response","mean.prox.spring.tmin","mean.prox.spring.tmax","mean.prox.spring.ppt","mean.prox.spring.vpd","mean.prox.spring.soil","mean.prox.spring.PDSI","mean.prox.summer.tmin","mean.prox.summer.tmax","mean.prox.summer.ppt","mean.prox.summer.vpd","mean.prox.summer.soil","mean.prox.summer.PDSI","mean.prox.winter.tmin","mean.prox.winter.tmax","mean.prox.winter.ppt","mean.prox.winter.vpd","mean.prox.winter.soil","mean.prox.winter.PDSI","mean.prox.fall.tmin","mean.prox.fall.tmax","mean.prox.fall.ppt","mean.prox.fall.vpd","mean.prox.fall.soil","mean.prox.fall.PDSI","mean.prox.annual.tmin","mean.prox.annual.tmax","mean.prox.annual.ppt","mean.prox.annual.vpd","mean.prox.annual.soil","mean.prox.annual.PDSI","mean.dep.spring.tmin","mean.dep.spring.tmax","mean.dep.spring.ppt","mean.dep.spring.vpd","mean.dep.spring.soil","mean.dep.spring.PDSI","mean.dep.summer.tmin","mean.dep.summer.tmax","mean.dep.summer.ppt","mean.dep.summer.vpd","mean.dep.summer.soil","mean.dep.summer.PDSI","mean.dep.winter.tmin","mean.dep.winter.tmax","mean.dep.winter.ppt","mean.dep.winter.vpd","mean.dep.winter.soil","mean.dep.winter.PDSI","mean.dep.fall.tmin","mean.dep.fall.tmax","mean.dep.fall.ppt","mean.dep.fall.vpd","mean.dep.fall.soil","mean.dep.fall.PDSI","mean.dep.annual.tmin","mean.dep.annual.tmax","mean.dep.annual.ppt","mean.dep.annual.vpd","mean.dep.annual.soil","mean.dep.annual.PDSI","min.prox.spring.tmin","max.prox.spring.tmax","min.prox.summer.tmin","max.prox.summer.tmax","min.prox.winter.tmin","max.prox.winter.tmax","min.prox.fall.tmin","max.prox.fall.tmax","min.prox.annual.tmin","max.prox.annual.tmax","min.dep.spring.tmin","max.dep.spring.tmax","min.dep.summer.tmin","max.dep.summer.tmax","min.dep.winter.tmin","max.dep.winter.tmax","min.dep.fall.tmin","max.dep.fall.tmax","min.dep.annual.tmin","max.dep.annual.tmax"
2001,51.77,-1.32,31.20891365,5.09,12.3633333333333,64.9333333333333,0.323333333333333,77.5,5.91333333333333,11.7066666666667,20.78,50.4333333333333,0.58,23,3.63666666666667,3.01,8.52333333333333,52.5666666666667,0.173333333333333,86.3,1.64666666666667,8.25,14.7333333333333,58.9333333333333,0.273333333333333,50.6333333333333,3.05666666666667,6.585,13.7741666666667,56.8916666666667,0.3325,59.3583333333333,4.255,1.51843601360677,0.220451807562912,0.884436844754519,0.555875023960132,0.318699960832287,5.20018844859266,2.08768283041244,0.323857154102729,0.0473525083309842,0.36096991365178,0.551286675285346,1.58035503188073,1.96756813886673,1.50397449703648,0.00369151833791198,1.53991731740928,0.00112677504264316,0.171853407869606,5.01274810134433,0.853122033303181,0.0178850732527169,0.10336501433188,0.000216709547827717,1.08436624545863,3.60771368680486,0.707185871364308,0.199782956659631,0.622459220892564,0.000418703677114828,3.73195413875658,3.06,17.24,9.9,22.02,1.08,10.11,4.75,17.1,1.08,22.02,0.724215374567123,2.90981759379596,0.000523123832290574,0.229691943196421,0.536969267279889,2.83243375123971,0.603931540093443,0.603116288032382,0.731013920643838,0.229691943196421
2002,51.77,-1.32,13.8531856,5.62,13.4133333333333,50.1666666666667,0.353333333333333,67.3666666666667,1.00333333333333,11.8,20.2433333333333,61.5333333333333,0.54,28.1666666666667,1.41666666666667,2.25666666666667,7.51,62.8333333333333,0.143333333333333,88.8,3.26666666666667,7.73,14.5833333333333,76,0.31,53.4,1.50333333333333,7.28,14.2966666666667,66.7,0.340833333333333,59.4333333333333,1.56,4.23878247493826,3.34333597857083,0.000569877619142151,3.06981981981982,0.0701231367746877,0.0365871234806059,2.6720508934997,0.0223511584322162,0.159280204618777,0.0194974724796525,0.0734160397998401,0.148756362500324,0.635986914378061,0.144756301485765,0.322524669878578,0.16118511713367,0.0956125265605726,1.12613423768543,2.1354530182886,0.523356403887691,0.911541157688684,3.62915048871315,0.021765278740025,0.161211090345099,13.1921856274959,3.02142014199139,3.20428462641185,1.2046170775499,0.000113774052597646,0.290464377244585,4.02,15.57,10.77,21.29,1.09,7.86,6.51,18.67,3.39,21.29,2.7967782014231,0.0888742742941732,1.14525138576098,0.00014279148561801,0.545657949330128,0.34965763620125,5.5790814373471,0.260097377841758,5.19207810922833,0.00014279148561801
2003,51.77,-1.32,23.61096606,5.43666666666667,14.1366666666667,35.7666666666667,0.413333333333333,50.5333333333333,0.0166666666666666,12.67,22.2433333333333,41.8,0.686666666666667,18,-2.71666666666667,2.84,8.03666666666667,59.1333333333333,0.16,88.8,-2.73,6.67666666666667,14.7566666666667,45.7666666666667,0.37,31.7333333333333,-4,6.65916666666667,14.6708333333333,43.5833333333333,0.406666666666667,47.2666666666667,-1.44,3.14319487485874,7.64328387605627,0.92976760020591,14.1762027985432,2.69780322491077,0.0522263652140261,11.5835995545172,2.93491928881613,0.486180142983124,3.35111844119363,1.43714290958088,1.52966689039609,1.60307458503805,0.672585015504905,0.116517273724143,0.261093247588424,0.0956125265605726,1.7754165291594,0.0129538682730863,0.911624304818551,0.249662617825209,20.2163685159159,0.796635051360275,3.47938971533046,4.34432059911489,5.66807980522744,1.89165357777033,12.4991143471457,2.55921965500068,1.02326853249997,3.37,16.15,11.49,23.38,2.75,8.1,5.15,19.75,1.09,23.38,1.24598193406412,0.619400451156757,3.7515383658289,1.82215213071199,2.95454274830847,0.121610052301422,1.29351902520019,1.94616229250903,0.741590304903969,1.82215213071199
2004,51.77,-1.32,19.41818182,5.45,13.11,48.9,0.323333333333333,79.4333333333333,-2.05666666666667,12.1833333333333,20.99,68.5666666666667,0.59,30.5333333333333,-0.73,2.70333333333333,7.86333333333333,34.1333333333333,0.156666666666667,88.8,-0.69,7.99333333333333,14.4766666666667,53.4,0.316666666666667,61.8333333333333,1.03666666666667,7.12833333333333,14.165,55.5333333333333,0.345833333333333,65.15,-0.795833333333333,3.217360721408,2.06178526397698,0.0113614404604691,0.555875023960132,0.52238934533228,1.23364566814795,5.8274418566346,0.537682741647042,0.623886124657294,0.512801085591635,0.00302076276653658,0.208809468494639,1.33710055528728,0.456191842962267,1.41492697893317,0.107900780891135,0.0956125265605726,0.268486477259867,3.44140502304537,0.337631387894661,0.0175435999956447,4.80901757144104,0.305101234831938,0.0438027179641087,10.5884133177474,2.28649019649851,0.0681057252803481,1.64533025540325,0.541678264417342,0.460548684195822,3.2,16.27,11.31,21.9,1.7,8.91,5.63,19.23,2.86,21.9,0.942430223887337,0.788849748454285,2.95911444214532,0.161960696166273,1.20753190236426,0.220921096902959,2.46354723605486,0.938792723900244,3.81023311940107,0.161960696166273
2005,51.77,-1.32,23.10538642,5.5,12.9266666666667,45,0.336666666666667,72.7,-1.34,11.9633333333333,21.1366666666667,51.3333333333333,0.613333333333333,21.6666666666667,-1.55,1.77333333333333,6.82,35.0666666666667,0.143333333333333,88.8,-2.06333333333333,8.15333333333333,15.2266666666667,54.3,0.313333333333333,42.3333333333333,-1.61666666666667,7.02083333333333,14.2275,46.575,0.355833333333333,56.375,-1.49166666666667,3.50318498281541,1.43667488975771,0.130519096225684,1.42304006133793,0.0294769519517799,0.649261364751059,3.86798636944159,0.718996741025745,0.0280908198357877,0.970460804901915,0.746794492198264,0.606587277675477,0.167434712843736,0.0382285107195477,1.28222824330036,0.16118511713367,0.0956125265605726,1.13707988299814,4.386357585986,2.50311016992884,0.00794892144565192,4.19836036937345,0.147231504095776,0.780779226224775,8.91605056182981,2.62260081857827,0.932609800004879,2.73244815479259,0.168194916133691,1.07800599530388,3.93,15.72,11.43,21.6,1.41,7.38,3.54,19.72,1.7,21.6,2.54515963433751,0.180249566278667,3.47696356321833,0.0442669997295655,0.860514588120186,1.15885874036194,0.0976393926319589,1.87817277112766,1.5303930962389,0.0442669997295655
2006,51.77,-1.32,25.60401003,5.14,12.1033333333333,63.2,0.316666666666667,82.4666666666667,-1.57,12.3133333333333,22.16,41.4,0.706666666666667,24.2666666666667,-1.15666666666667,4.06333333333333,9.62333333333333,74.9666666666667,0.17,88.8,1.29,9.09,16.4266666666667,69.4333333333333,0.336666666666667,48.8,-0.593333333333333,7.22916666666667,14.5283333333333,54.425,0.375,61.0833333333333,-1.12083333333333,1.71669686664049,0.0176941929317643,0.68434594251078,0.272378761740464,0.94288434841178,0.816544151652527,7.17338252734221,2.71593107623332,0.517665595331042,4.2485174691183,0.392985067003823,0.389924343855707,5.05767051754737,4.59935529912983,1.71842391136419,1.12030316949931,0.0956125265605726,0.0740842536226454,12.2152783063159,10.1367123791103,0.408128836852639,9.34335453340003,0.00537073033914597,0.213542031068589,12.2876336352391,4.56275344204269,0.0119254607834134,5.58267270577272,0.041959500986342,0.716748176628569,2.21,15.96,11.19,24.91,3.74,10.06,5.21,20.63,1.41,24.91,0.0153196753431129,0.392956466811155,2.48299929993649,5.42566920634035,5.30588420516918,2.66487190643877,1.41933792711595,4.47831305931978,1.12014231649763,5.42566920634035
2007,51.77,-1.32,17.30735931,5.78,14.5433333333333,56.4333333333333,0.383333333333333,67.4333333333333,0.376666666666667,11.78,20.0333333333333,82.7333333333333,0.526666666666667,63.2,3.22666666666667,2.66666666666667,9.22333333333333,59.6666666666667,0.173333333333333,87.8333333333333,2.12666666666667,6.96,14.7033333333333,38.6666666666667,0.29,43.9,2.66666666666667,7.00333333333333,14.6508333333333,61.8916666666667,0.343333333333333,65.8333333333333,1.9675,5.3285469281893,10.8305154547796,0.14850545548625,7.60992907801419,0.0672632172273338,0.00567875514602149,2.54076649401461,0.000215531973519954,2.48677538857574,0.000198568653315171,8.5634842770812,1.20161395275034,1.26984366137862,3.27864792790469,0.139879343808006,1.53991731740928,0.041058880501886,0.367417681319738,0.0960231626067566,0.780755313330963,0.70764459599596,1.08428495430473,0.0951735897722587,0.775611458169813,8.657402005458,5.50572109001001,1.28059534698429,1.4164031854898,0.681018071641166,0.561838799790907,3.42,16.35,11.64,20.3,1.97,9.84,4.37,18.46,2.27,20.3,1.34331387720957,0.913184567739357,4.48362191173803,0.386638727618333,1.5833348341873,1.98828987212664,0.189173535763249,0.11417913203236,2.52292991446842,0.386638727618333
2008,51.77,-1.32,24.37089202,5.35,13.2866666666667,68.0666666666667,0.356666666666667,79.0666666666667,2.24666666666667,12.15,20.3966666666667,70.2,0.573333333333333,31.9,2.63666666666667,0.58,6.80333333333333,52.0333333333333,0.116666666666667,88.8,2.28333333333333,6.79,13.88,60.1333333333333,0.276666666666667,48.4,2.67333333333333,6.62166666666667,14.08,62.8083333333333,0.3425,61.8,2.43666666666667,2.68219695208223,2.7706986446964,1.3111695202921,3.47421889975082,0.479910807475303,0.518822064169147,5.50483423629342,0.072567444392538,0.775475887497519,0.274518701613392,0.00486737629853719,0.747506652470533,0.301962843290844,0.0438625666855775,0.00872656216614435,3.46481396417088,0.0956125265605726,0.447140010775715,0.0030981892843456,0.0463710770660633,0.0366578741204305,0.216654359511843,0.00855377984126562,0.780455738020167,3.96333250315285,1.86635355726401,1.5804399235946,1.34390326484611,0.089068877133974,0.984148049298802,3.11,17.97,10.3,21.59,-0.16,7.09,4.93,17.64,0.86,21.59,0.798855237711247,5.38778856281327,0.254404828589375,0.0416142471938166,3.48663003621166e-07,1.8759008298821,0.88213435569836,0.111609266019394,0.51755174715422,0.0416142471938166
2009,51.77,-1.32,16.4290429,5.08333333333333,13.7266666666667,33.8,0.34,60.6333333333333,0.473333333333333,11.8066666666667,20.9633333333333,57.2,0.596666666666667,19,-1.38333333333333,-0.0333333333333334,5.94,62.5666666666667,0.116666666666667,88.8,1.58,8.22333333333333,15.3033333333333,61.9666666666667,0.34,41.5333333333333,-1.82666666666667,6.44083333333333,14.2241666666667,54.0416666666667,0.350833333333333,52.4916666666667,-0.175,1.49292010847533,4.99079588204373,1.19393881650077,1.7023672608779,0.66566714683303,0.0011715306133182,2.71654722928935,0.507541922180046,0.0250726065388196,0.628791436139722,1.22665487998604,0.508959948079551,1.08628668523229,0.865116941584722,0.304244305547216,3.46481396417088,0.0956125265605726,0.150498411612457,4.83577654787255,2.83738115124151,0.0782080726221546,10.2441429853187,0.178177135934917,0.941125316567487,2.37152574202072,2.60409329908576,0.00321635569034871,2.15460728115082,0.841472893012112,0.127997184633959,2.27,16.66,10.26,21.55,-1.4,7.19,6.65,18.83,-0.16,21.55,0.0306624494343275,1.48088613555551,0.208149668681577,0.0318228310371512,0.535239898781928,1.60923228419278,6.19053081090059,0.411029996359383,0.00824453249779086,0.0318228310371512
2010,51.77,-1.32,18.76261128,4.13666666666667,12.97,35.3333333333333,0.363333333333333,61.3,0.363333333333333,11.7,21.4033333333333,59.6333333333333,0.653333333333333,23.8333333333333,-1.91333333333333,0.9,6.57666666666667,49.7333333333333,0.11,85.5333333333333,-0.656666666666667,6.57,13.8233333333333,51.3,0.283333333333333,44.3333333333333,-0.966666666666667,5.31666666666667,13.2258333333333,48.4,0.35,53.75,-0.468333333333333,0.0648005556575665,1.57426617478584,0.985141250272706,4.35806018784742,0.57961155240328,0.00656595866595142,2.04869801433249,1.11603258068173,0.0861639874997242,2.09176650273011,0.444133115255205,0.849086556362253,0.0855153484932622,0.158920158169948,0.0548752052678913,4.95677537896187,0.00259730382252195,0.254874939079603,0.0747050804916151,0.0846665681920149,0.0545106514084725,0.567575014093676,0.0827716792362489,0.379310758960802,1.5943795484781,0.0101403906592538,0.512391442689869,2.06496639853357,0.566959702377314,0.259460686929539,2.47,15.48,10.2,22.76,-2.25,9.35,3.31,18.43,-2.25,22.76,0.119869163934138,0.0493967375705461,0.147461507749919,0.908162772998593,1.52153780342548,0.836813048403035,0.269971392085022,0.0981689563139494,1.43337749582546,0.908162772998593
